=== FULL RUN PLAN (Day 8, 2026-08-16) ===
benchmarks : ['tr_mmlu', 'tumlu_tr', 'halluverse_tr', 'ragturk_formal5k']
models     : ['gpt-5.6-luna', 'mimo-v2.5', 'deepseek-v4-flash']
probes     : ['M1', 'M2a', 'M2b_A', 'M2b_B', 'M2b_C'] (+2 translation calls per item, lazy; +1 gold_TR->EN per RAGTurk item)
n per benchmark sample (seed 42) : {'tr_mmlu': 200, 'tumlu_tr': 200, 'halluverse_tr': 200, 'ragturk_formal5k': 200}
planned answer calls: 11400 | translations: 1600 | RAGTurk gold->EN: 200 | TOTAL ~13200
estimated cost (documented rates only; mimo excluded, tokens counted): $0.7910  [cap $2.00]
fix 2 retry-hard: gpt-5.6-luna x ragturk_formal5k (surface>2000 chars or item-recurrence), max 4 retries
fix 3 matcher: qa_matcher.py strict (precision 1.000 / recall 0.371 on labeled set); arm-C scored vs EN-translated gold
fix 4 spend checkpoints: every 500 calls -> spend_full_2026-08-16.jsonl
resume: 979 calls already logged -> skipping, 10674 to run (translation cache re-seeded: 127 items, gold-EN cache: 0; prior events in log: 3)
[EXC] tr_mmlu|gpt-5.6-luna|M2b_B|126: KeyError: 'backtr_tr'
[tr_mmlu/gpt-5.6-luna/M2b_C 118] ok retries=0 tok=138 cost≈1.63e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 117] ok retries=0 tok=163 cost≈5.23e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 121] ok retries=0 tok=134 cost≈2.94e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 119] ok retries=0 tok=159 cost≈4.99e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 123] ok retries=0 tok=88 cost≈1.13e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 122] ok retries=0 tok=101 cost≈1.26e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 120] ok retries=0 tok=276 cost≈0.0001121
[tr_mmlu/gpt-5.6-luna/M2b_C 124] ok retries=0 tok=141 cost≈3.16e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 127] ok retries=0 tok=147 cost≈1.72e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 128] ok retries=0 tok=93 cost≈1.18e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 129] ok retries=0 tok=129 cost≈1.54e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 125] ok retries=0 tok=208 cost≈5.33e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 126] ok retries=0 tok=255 cost≈8.6e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 131] ok retries=0 tok=126 cost≈1.51e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 133] ok retries=0 tok=107 cost≈1.32e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 134] ok retries=0 tok=97 cost≈1.22e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 130] ok retries=0 tok=205 cost≈6.3e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 132] ok retries=0 tok=333 cost≈0.0001253
[tr_mmlu/gpt-5.6-luna/M2b_C 137] ok retries=0 tok=126 cost≈1.51e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 136] ok retries=0 tok=107 cost≈1.32e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 138] ok retries=0 tok=125 cost≈1.5e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 139] ok retries=0 tok=127 cost≈2.62e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 140] ok retries=0 tok=139 cost≈1.64e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 142] ok retries=0 tok=97 cost≈1.22e-05
[tr_mmlu/gpt-5.6-luna/M2b_C 141] ok retries=0 tok=128 cost≈3.38e-05
